Scenario,Estimator,Bias,ASE,ESE,SER,RMSE,C,Diag,DiagC
1,Naive MS,0.16247566363566673,5.027194060686701,5.071666120456714,0.9912312721867407,5.074267984513856,0.9505,-0.13487954039817893,0.94
1,Naive SS,0.027596123237487682,3.551538619682535,3.520914009877689,1.0086979147229755,3.5210221542857023,0.951,,
1,Bridge MS,0.15535586894046804,5.0246215052179215,5.06855485183426,0.991332174968879,5.070935193045447,0.953,-0.09759449802784874,0.95
1,Bridge SS,-0.009457475292528435,2.170065307984941,2.1823689208043904,0.994362267212404,2.1823894130818697,0.946,,
2,Naive MS,17.747180501013077,5.655989481293415,5.612837470717913,1.0076880919500386,18.613606856497046,0.1175,20.354617447468613,0.0
2,Naive SS,38.10179794848169,4.305938408343467,4.353196270667055,0.9891441002460598,38.349671767537636,0.0,,
2,Bridge MS,-0.1574192044564471,6.011388528793143,5.917207808982523,1.0159164124112137,5.919301399710564,0.9495,-0.009698558261657116,0.951
2,Bridge SS,-0.19255347058579542,3.6581437658777474,3.6555121606016416,1.00071990056673,3.6605800080507893,0.942,,
3,Naive MS,37.12974705819903,5.485781376508135,5.314045133069382,1.0323174228178897,37.5080950233698,0.0,1.0117446823635603,0.942
3,Naive SS,38.141491740562586,4.304933300366974,4.256276283530181,1.0114318276341865,38.378239667774565,0.0,,
3,Bridge MS,19.061186377014195,5.755427162016253,5.734439017849706,1.0036600169783334,19.905090227092884,0.0865,-19.041492689877046,0.0
3,Bridge SS,0.05627613653720786,3.664672472759813,3.6699432585984497,0.9985637963676175,3.670374711780224,0.948,,
4,Naive MS,47.52633336114469,5.65307915711617,5.467971499227894,1.0338530765777425,47.83984819239107,0.0,20.56945631569732,0.0
4,Naive SS,68.095789676842,4.303281439321094,4.235936561662984,1.015898462282842,68.22741186845018,0.0,,
4,Bridge MS,29.649895487857304,6.012298122322948,5.892440487668475,1.0203409156028487,30.229739617495476,0.0025,0.18991115176240925,0.953
4,Bridge SS,29.908759146138067,3.66016016502801,3.669830114481644,0.997365014414298,30.133063679799534,0.0,,
5,Naive MS,57.67914882643917,5.656666381596438,5.598405535978632,1.0104066854827483,57.950205814024464,0.0,10.27332304624475,0.206
5,Naive SS,67.95247187268392,4.306742061109191,4.261784426451002,1.0105490165995157,68.08598416785527,0.0,,
5,Bridge MS,39.868735066497806,6.004278692928961,5.97214240743167,1.005381031346021,40.313552569046,0.0,-9.976984262492042,0.1365
5,Bridge SS,29.834557128805788,3.6556202703861547,3.7081562612353616,0.9858323147278306,30.06411851243464,0.0,,
